VendorNo;VendorDesc;VendorCountry;Transaction currency
306023;Metal bros GmbH;DE;EUR
371504;Metal Bros INDUSTRIES PTE;SG;EUR
333299;INSANE TECH A/S;DK;EUR
334628;Italian steel co;IT;EUR
60184;Metal Bros (London) Ltd,;GB;EUR
302507;Fabulous IndustriTeknik A/S;DK;EUR
332489;Steel & all Danmark A/S;DK;EUR
336014;Cheney industrials;US;USD
341772;HH Metal Kft.;HU;EUR
353006;Metal Bros(Shanghai)Automatic Cont. Co;CN;CNY
301450;Metal Bros SARL;FR;EUR
305574;Frankfurter industri GmbH;DE;EUR
340390;Metal Bros (AUSTRALIA) PTY LTD;AU;EUR
